GeneID,GSM2436514,GSM2436515,GSM2436516,GSM2436517,GSM2436518,GSM2436519,GSM2436520,GSM2436521,GSM2436522,GSM2436523
102724159,194,421,201,160,151,307,169,72,203,222
102724200,42,35,35,34,33,43,46,21,24,46
105379487,11,2,9,9,6,7,23,19,11,14
105379488,0,0,0,0,0,0,0,0,0,0
105379489,0,0,0,0,0,0,0,0,0,0
102724219,20,4,41,86,77,7,61,23,10,63
107987309,1,0,0,0,0,1,0,0,0,0
102724334,23,10,32,19,50,17,17,24,36,16
105379490,3,7,0,2,3,1,0,0,2,1
102724354,4,4,1,1,1,0,1,1,3,2
102724370,6,0,1,2,1,1,1,0,0,0
102724398,7,26,12,2,13,9,5,18,12,3
107985506,2,0,1,1,1,2,0,6,1,1
102724428,419,254,311,154,256,273,269,1772,297,557
107987288,1,0,0,0,0,0,0,0,0,0
107987289,0,0,0,0,0,0,1,0,1,1
102724701,32,10,55,104,87,16,90,50,27,82
105379491,0,0,0,0,0,0,0,0,0,0
102724843,30,10,51,97,81,13,85,48,22,78
105379493,3,2,2,3,1,3,7,5,5,5
107987290,0,0,1,0,0,0,1,2,0,1
102724560,3,0,1,3,1,2,2,0,2,2
102724594,1290,1469,1301,620,730,1060,994,410,1074,980
106780825,0,0,0,0,0,0,0,1,0,0
102724652,0,1,0,0,0,0,0,0,0,0
105379497,0,0,0,0,0,0,0,0,0,0
110091777,9,5,3,3,5,6,4,2,4,6
102466252,0,0,0,0,0,0,0,0,0,0
105379499,13,5,10,12,9,9,26,24,15,17
105379501,0,0,0,0,0,0,0,0,0,0
105379502,0,0,0,0,0,0,0,0,0,0
105379503,0,0,0,0,0,0,0,0,0,0
102724951,19,4,39,89,80,6,61,25,10,63
107987308,1,0,0,0,0,1,0,0,0,0
102723360,19,2,41,86,72,6,57,26,9,64
102723553,103,156,157,54,93,84,81,71,194,107
102723451,0,2,2,1,2,3,2,1,3,2
105379504,9,7,7,4,4,3,4,4,4,6
102723475,0,0,1,0,0,1,0,0,0,1
105379505,0,0,0,0,0,0,0,0,0,0
102465433,1,0,0,0,0,0,0,0,0,0
109864279,74973,69587,58274,50101,44489,77081,55758,108834,39480,32909
100500862,15,106,47,32,49,63,50,79,9,26
109864280,5381,36208,31017,33991,28608,47094,34947,62280,27654,19804
109864281,106,39,32,15,26,44,26,53,33,23
109864282,68018,8572,20675,12519,11324,19296,15285,30791,11019,9293
105379506,2,1,1,1,0,1,2,0,1,1
107987293,3,2,1,0,1,1,7,1,2,1
102723570,3,0,0,1,1,0,4,0,2,0
103504727,1,0,0,0,0,0,0,0,0,0
103504739,0,0,0,0,0,0,0,0,0,0
109910379,73189,69665,58469,50086,44357,77189,55854,108832,39017,32960
109910380,5413,36214,30991,33977,28610,47233,34959,62756,27669,19795
109910381,105,42,31,17,25,41,25,52,33,24
109910382,66212,8444,20768,12437,11163,19077,15322,30300,10546,9215
112268284,2488,116,450,123,219,280,253,602,327,230
105379508,3,1,1,1,0,1,2,0,1,1
102723584,3,0,0,1,1,0,3,0,1,0
103504733,1,0,0,0,0,0,0,0,0,0
106631777,76315,68404,57639,50073,44435,75765,55596,108679,39071,32702
113218488,7,33,5,1,1,4,8,24,1,2
106631781,5418,35920,30973,33772,28616,46638,34551,62352,27242,19553
106632260,103,41,31,15,26,40,24,53,31,23
106632264,69323,8564,20945,12555,11404,19437,15526,31300,11029,9351
105379507,2,0,1,1,0,1,2,0,1,1
107987294,4,2,1,0,1,1,6,2,1,1
102723603,4,2,0,1,1,1,7,1,3,0
105372730,1,1,2,0,0,0,0,3,1,1
103504731,34,214,98,61,101,126,101,160,17,53
113218501,6,27,6,1,1,3,7,19,1,2
101927615,1,1,0,0,0,1,1,0,1,1
100132288,62,65,73,18,53,47,56,34,189,102
101930100,6,4,14,1,0,6,1,6,5,4
101927345,9,7,7,1,4,13,6,16,3,9
105379511,5,7,7,3,5,7,6,4,4,4
105379514,0,0,0,0,0,0,0,0,0,0
105379513,0,0,0,0,0,0,0,0,0,0
441058,0,0,0,0,0,0,0,0,0,0
105372734,0,0,0,0,0,0,0,0,0,0
105372733,4,4,7,3,9,5,4,5,6,5
85319,16,63,23,30,30,35,36,13,11,27
105378260,18,59,27,29,26,47,45,22,15,33
7179,7,10,13,10,10,10,13,9,18,9
149992,0,0,0,0,0,0,0,0,0,0
100423018,0,0,0,0,0,0,0,0,0,0
102724188,1,0,0,0,0,0,0,0,0,0
317754,0,0,0,0,0,0,0,0,0,0
100423008,0,0,0,0,0,0,0,0,0,0
107985482,0,0,0,0,0,0,0,0,0,0
112268283,0,1,0,0,0,0,0,0,0,0
103504736,0,0,0,0,0,0,0,0,0,0
54055,0,0,0,2,0,0,2,0,0,0
110091776,0,0,1,7,0,1,1,1,1,0
391267,2,0,0,7,1,2,2,2,1,1
105377134,2,8,1,4,3,1,3,8,4,6
149998,5,0,0,0,0,1,2,0,0,1
54033,25,47,7,1,4,39,50,26,64,61
150000,0,0,0,0,0,0,0,0,0,0
6782,384,489,409,268,611,366,553,165,410,608
105369304,1,0,0,1,1,1,1,1,0,1
64092,1,0,2,2,17,2,16,0,0,5
100874190,0,0,0,0,0,0,0,0,0,0
388813,0,0,0,0,0,0,0,0,0,0
105372738,0,0,0,0,0,0,0,0,1,0
107987295,6,39,14,9,27,33,21,13,20,28
8204,1192,1582,798,708,839,929,910,585,513,989
107985483,0,0,0,0,0,0,0,0,0,0
105369292,0,0,0,0,0,0,0,0,0,0
101927745,0,0,0,0,0,0,0,0,0,0
105369302,0,0,0,0,0,0,0,0,0,0
29761,1025,1515,950,636,975,970,1039,819,872,1078
112268281,0,0,0,0,0,0,0,0,0,0
388815,54,214,76,48,56,73,91,80,49,110
109617014,0,0,0,0,0,0,0,0,0,0
112268282,0,0,3,0,0,1,1,0,0,0
407055,0,0,0,0,0,0,0,0,0,0
406885,0,0,1,0,0,0,0,0,0,0
406912,0,0,0,0,0,1,0,0,0,0
105372740,0,0,0,0,0,0,0,0,0,0
107985511,0,0,0,0,0,0,1,0,0,0
100505929,0,0,0,0,0,0,0,0,0,0
100189284,1,4,0,1,0,2,1,0,3,1
1525,1930,499,387,486,405,474,994,1209,734,1375
10950,2135,1263,886,1221,1048,980,1278,1891,1021,1204
110806272,111,108,65,96,76,75,65,158,50,80
105372741,2,28,4,14,4,7,7,9,3,2
246312,20,18,27,23,21,25,32,14,23,40
54149,3071,2967,3366,2323,2867,2946,3804,1161,2349,3786
140578,39,21,73,35,94,86,63,60,145,101
54075,4,6,2,2,3,3,0,1,3,3
107987296,0,0,0,0,0,2,0,3,0,0
5651,0,0,1,1,0,1,0,2,0,0
101927797,0,0,0,0,0,0,0,0,0,0
100422920,0,0,0,0,0,0,0,0,0,0
107985490,0,0,0,0,0,0,0,0,0,0
105372746,0,0,0,0,0,0,0,0,0,0
105372745,0,0,0,0,0,0,0,0,0,0
111216285,0,0,0,0,0,0,0,0,0,0
387486,0,0,0,0,0,0,0,0,0,0
4685,76,21,14,19,47,39,55,59,34,86
378828,0,0,0,0,0,0,0,0,0,0
101927821,0,0,0,0,0,0,0,0,0,0
101927843,0,0,0,0,0,0,0,0,0,0
54143,0,0,0,0,0,0,0,0,0,0
107985508,0,0,0,0,0,0,0,0,0,0
107985509,0,0,0,0,0,0,0,0,0,0
107985494,0,0,0,0,0,0,0,0,0,0
102466967,0,0,0,0,0,0,0,0,0,0
266917,0,0,0,0,0,0,0,0,1,0
105372747,0,0,0,0,0,0,0,0,0,0
107985512,0,0,0,0,0,0,0,0,0,0
105372749,0,0,0,0,0,0,0,0,0,0
105372750,0,0,0,0,0,0,0,0,0,0
101927869,0,0,0,0,0,0,0,0,0,0
105372751,0,1,1,6,2,3,1,0,0,4
339622,0,1,0,0,0,0,0,0,0,0
107985516,0,0,0,0,0,0,0,0,0,0
54072,0,0,1,0,0,0,0,0,0,1
105372753,0,11,0,2,0,0,0,0,0,0
114614,78,337,347,554,380,72,159,91,40,58
406947,1,7,9,7,8,3,2,3,3,1
282566,3,9,7,18,8,2,3,3,2,5
54148,456,569,846,430,421,456,472,432,832,523
58494,3820,5120,5714,3492,5344,4158,4675,4005,5954,5135
522,1175,1409,3383,1038,1574,1269,1364,919,3025,1768
2551,965,1399,1232,682,1411,992,1152,615,1015,1665
105372757,0,0,0,0,0,0,0,0,0,0
105372756,4,0,0,1,0,1,1,0,0,0
351,1196,1576,1532,1495,3836,1356,2399,2638,1680,2928
100996571,0,15,5,16,5,8,6,2,2,8
105372758,1,0,0,0,0,0,0,0,0,0
107985474,0,2,5,2,5,2,1,0,0,3
116159,5578,8966,10725,5292,8226,6518,5643,3046,10363,9783
9510,25711,50431,33989,21985,23313,43586,29983,3481,4984,22964
105372760,0,0,0,0,0,0,0,0,0,0
11096,0,3,5,0,0,0,1,0,1,0
100616243,0,0,0,0,0,0,0,0,0,0
112268279,0,0,0,0,1,0,1,0,0,0
112268280,0,0,0,0,0,0,0,0,0,0
102724355,18,31,28,30,27,15,21,10,6,5
105372759,2,0,3,12,2,2,4,0,1,0
105372762,14,17,19,23,11,11,23,8,11,10
105372763,1,12,24,158,18,48,29,32,5,0
54088,0,0,6,34,3,6,3,10,1,2
246705,0,1,1,13,0,3,3,1,0,0
284825,1,25,9,70,10,18,7,6,0,2
101927973,11,27,34,148,23,49,21,26,7,8
102724420,0,0,0,2,1,0,1,0,0,0
105372764,0,0,0,0,0,0,0,0,0,0
29104,108,82,124,54,100,101,74,103,173,107
118421,0,0,0,0,0,0,0,0,0,0
26046,758,1142,1007,886,958,1036,1115,661,678,1094
105372766,3,0,2,0,0,1,3,2,0,0
10069,82,66,255,100,172,100,101,98,241,176
10600,1149,1612,1065,656,432,854,946,620,671,833
10694,1659,1912,2065,1247,1306,1441,1482,846,2068,1986
56911,97,55,81,114,92,40,83,71,87,96
105372767,26,39,11,19,13,10,15,36,14,7
193629,10,19,5,9,2,4,27,0,3,3
105369299,2,0,1,1,1,0,0,0,0,2
571,1213,1544,880,1197,734,865,938,870,479,1143
100874322,1,0,1,1,1,1,2,1,0,1
107985486,2,1,0,2,1,0,0,3,4,0
105372770,0,0,0,0,0,0,0,0,0,0
54147,0,0,0,0,0,0,0,0,0,0
2897,3,7,0,2,2,0,2,1,3,7
105372768,5,0,0,1,2,2,1,0,1,3
100379661,1,10,2,2,1,1,1,1,11,1
642976,0,0,0,0,1,0,1,0,0,0
26285,0,0,0,0,0,0,0,0,0,0
266919,0,0,0,0,0,0,0,0,0,0
9073,10,0,4,0,0,9,18,7,41,32
643803,0,0,0,0,0,0,0,0,0,0
100131902,0,0,0,0,0,0,0,0,0,0
388818,0,0,0,0,0,0,0,0,0,0
643812,0,0,0,0,0,0,0,0,0,0
337963,0,0,0,0,0,0,0,0,0,0
337959,0,0,0,0,0,0,0,0,0,0
100422891,0,0,0,0,0,0,0,0,0,0
105372772,0,0,0,0,0,0,0,0,0,0
140258,0,0,0,0,0,0,0,0,0,0
337960,0,0,0,0,0,0,0,0,0,0
284827,0,0,0,0,0,0,0,0,0,0
254950,0,0,0,0,0,0,0,0,0,0
337882,0,0,0,0,0,0,0,0,0,0
337969,0,0,0,0,0,0,0,0,0,0
337970,0,0,0,0,0,0,0,0,0,0
337971,0,0,0,0,0,0,0,0,0,0
337972,0,0,0,0,0,0,0,0,0,0
337973,0,0,0,0,0,0,0,0,0,0
337974,0,0,0,0,0,0,0,0,0,0
100288287,0,0,0,0,0,0,0,0,0,0
337968,0,0,0,0,0,0,0,0,0,0
337967,0,0,0,0,0,0,0,0,0,0
337979,0,0,0,0,0,0,0,0,0,0
337966,0,0,0,0,0,0,0,0,0,0
337975,0,0,0,0,0,0,0,0,0,0
100151643,0,0,0,0,0,0,0,0,0,0
337976,0,0,0,0,0,0,0,0,0,0
337985,0,0,0,0,0,0,0,0,0,0
105372773,0,0,0,0,0,0,0,0,0,0
100288323,0,0,0,0,0,0,0,0,0,0
337978,0,0,0,0,0,0,0,0,0,0
337977,0,0,0,0,0,0,0,0,0,0
337879,0,0,0,0,0,0,0,0,0,0
337878,0,0,0,0,0,0,0,0,0,1
337880,0,0,0,0,0,0,0,0,0,0
105372776,0,0,0,0,0,1,1,1,4,2
105372775,0,0,0,0,0,0,0,0,0,0
105372774,0,0,0,0,0,0,0,0,0,0
728299,0,0,0,0,0,0,0,0,0,0
7074,1363,1949,801,1325,980,2604,1422,1948,2625,2736
107985487,12,17,8,13,7,31,11,30,30,17
105372777,9,0,0,0,0,2,0,0,0,1
150051,0,0,0,0,0,0,0,1,0,1
107985488,0,0,0,0,0,0,0,0,0,0
102724449,5,12,0,1,1,1,1,0,0,2
6647,1981,2509,3662,1635,2359,2067,1915,2103,4190,2455
57466,726,1303,652,465,702,840,867,399,537,840
30811,14,0,1,1,0,2,5,4,5,14
100551499,0,0,0,0,1,0,0,0,0,0
54069,51,57,93,36,64,57,70,26,120,81
56246,6,5,6,10,6,7,12,5,4,10
105372779,1,4,2,1,0,0,0,0,0,0
9875,111,333,103,155,117,171,157,103,122,179
677846,1,5,0,1,1,2,3,1,1,2
84996,47,179,115,54,114,81,74,117,125,68
59271,4641,5239,4058,2396,2241,3640,2507,2172,2295,2023
110091775,510,556,550,243,289,420,417,248,455,362
140290,9,17,5,1,3,4,10,1,9,7
105372782,0,0,1,1,1,2,4,1,0,0
56683,1037,967,1036,505,563,855,939,422,1100,810
8867,259,704,366,366,428,398,388,250,229,360
100506215,24,5,9,28,26,32,44,20,22,26
94104,546,534,457,491,388,540,563,718,337,439
54067,5,11,46,19,9,14,15,25,22,23
56245,2,0,0,4,0,0,2,3,1,0
105377136,0,0,2,3,2,2,2,1,0,0
102724502,0,0,0,0,1,0,0,0,0,0
10215,0,0,0,0,0,0,0,0,0,0
107985505,0,0,0,0,0,0,0,0,0,0
105372785,0,0,0,0,0,0,0,0,0,0
101930746,0,0,0,0,0,0,0,0,0,0
116448,0,0,0,0,0,0,0,0,0,0
101928107,0,0,0,0,0,0,0,0,0,0
728409,0,0,0,0,0,0,0,0,0,0
105372787,0,0,0,0,0,0,0,0,0,0
3455,819,1619,1242,798,1286,1054,1276,526,1515,1408
100288432,12,9,4,3,9,11,9,6,11,11
3588,1027,1122,1053,451,845,926,965,448,1354,1162
3454,2160,2081,2077,1502,1707,1609,2277,1108,1971,2370
3460,4676,4167,2731,1970,2168,2702,2706,1232,1987,2382
757,1961,2085,2475,1811,1630,1788,2175,1338,2272,2271
54943,1,20,24,8,19,12,15,9,29,14
2618,649,1089,836,541,691,754,673,356,812,928
6651,3330,5620,3430,2818,1776,3903,3255,2730,2055,3479
102465248,3,20,6,3,3,13,7,2,2,6
107985481,12,27,27,42,10,36,38,46,17,41
29980,451,542,219,290,444,317,288,456,244,262
9946,423,447,782,305,436,520,525,390,789,569
6453,328,989,557,484,421,561,482,612,374,594
539,1143,1365,2911,827,1516,1106,1314,920,3093,1525
100506334,7,19,33,6,10,4,12,18,11,12
101928126,0,0,1,0,0,0,4,3,1,1
105372790,0,1,0,0,0,0,1,1,0,1
105372789,0,0,0,0,0,0,0,0,0,0
64968,335,470,691,215,567,310,526,477,709,418
6526,213,205,200,261,201,157,337,341,77,149
114036,0,0,2,0,0,0,1,0,0,1
105372791,2,0,1,1,1,1,0,0,1,1
9992,1,0,1,1,0,1,0,0,1,1
54065,73,104,102,34,47,49,44,53,130,60
101928147,0,2,2,1,2,3,2,1,3,2
105372793,10,7,8,4,5,4,6,4,4,6
388820,0,0,1,0,0,1,0,1,0,0
3753,2,4,2,0,0,1,1,0,0,1
1827,26213,27913,15846,20854,11094,19827,31693,3087,17804,13240
54102,0,0,0,0,0,0,1,0,0,0
54064,0,0,0,0,0,0,0,0,0,0
107985515,0,0,0,0,0,0,0,0,0,0
100506385,0,0,0,0,0,0,0,0,1,0
861,115,113,6,10,9,33,46,17,11,16
102724584,2,0,0,0,0,1,3,1,0,0
112267915,33,0,1,7,1,5,2,4,0,8
80215,0,0,0,0,0,0,0,0,0,0
100506403,0,0,0,0,0,0,0,0,0,0
768219,0,0,0,0,0,0,0,0,0,0
54036,5,3,3,1,3,3,3,2,4,5
101928269,0,0,0,1,1,0,1,1,0,0
100996609,0,0,0,0,0,0,1,0,0,0
54093,159,384,213,93,224,221,188,141,417,266
105369295,3,2,0,0,0,0,0,0,0,0
100133286,38,17,36,7,5,27,33,22,68,49
873,288,158,263,48,48,183,283,153,582,471
105369306,0,0,0,1,0,1,0,0,0,1
100506428,143,210,400,149,227,130,165,44,243,170
874,546,1055,2157,883,1088,776,947,124,1138,738
9980,100,463,165,105,152,231,147,62,103,182
23515,1232,1130,1324,1029,960,1152,1029,981,757,1383
8208,189,176,129,87,127,133,113,64,158,127
105369301,29,65,73,22,94,48,25,5,32,40
23562,2,4,5,2,8,2,0,2,0,1
105369308,0,0,0,0,0,0,0,0,0,0
6493,0,0,1,0,0,2,6,1,7,3
107985492,0,0,0,0,0,1,0,4,0,1
3141,114,151,79,29,73,123,90,53,131,139
105369305,0,0,0,1,0,1,2,0,0,0
53820,0,2,1,0,0,1,0,0,0,0
